id,desktop_inventory_element,element,location,model,desktop_inventory,serial,quantity,millicom_code,is_asset,element_type_asset,element_category_asset,comments,desktop_inventory_process_result_detail,check_field_service_login,check_field_service_date,check_inventory_responsible_login,check_inventory_responsible_date,internal_location_id,missing_element_created_for_partial_diff
4116,27399,335311,BAR0099,1002011,369,A05G126680,1,A05G126680,Y,11,53,,30726,NULL,NULL,NULL,NULL,NULL,0
4117,27400,335312,BAR0099,1002011,369,A05G126681,1,A05G126681,Y,11,53,,30727,NULL,NULL,NULL,NULL,NULL,0
4118,27401,335313,BAR0099,1002011,369,A05G126682,1,A05G126682,Y,11,53,,30728,NULL,NULL,NULL,NULL,NULL,0
4119,27402,336313,BAR0099,1002011,369,A05G126683,1,A05G126683,Y,11,53,,30729,NULL,NULL,NULL,NULL,NULL,0
4120,27403,345201,BAR0099,1000003,369,123685,1,A06G111987,Y,236,7,,30730,NULL,NULL,NULL,NULL,NULL,0
4297,15668,124395,BAR0150,1000042,331,1PS30861-U2008-X-03/01SPWM/V2122180,1,A05G127914,Y,9,53,,32838,CD92556376,"2010-08-26 09:20:58",LQ11318319,"2010-08-26 09:25:03",NULL,0
4299,15687,168922,BAR0150,1000135,331,1PS30861-U2408-X-12/01SUEB/WO698870,1,A05G127940,Y,192,53,,32840,CD92556376,"2010-08-26 09:20:58",LQ11318319,"2010-08-26 09:25:04",NULL,0
4300,15731,311858,BAR0150,1000401,331,,300,,Y,246,53,,32841,CD92556376,"2010-08-26 09:20:58",LQ11318319,"2010-08-26 09:25:04",NULL,0
4383,28346,164076,BOG0336,1002011,448,A05G141077,1,A05G141077,Y,11,53,,33538,william.caballero,"2010-09-02 10:16:00",AF3086222,"2010-08-25 21:16:54",NULL,0
4384,28345,164062,BOG0336,1002011,448,A05G141076,1,A05G141076,Y,11,53,,33539,william.caballero,"2010-09-02 10:16:00",AF3086222,"2010-08-25 21:16:54",NULL,0
4385,28344,164048,BOG0336,1002011,448,A05G141075,1,A05G141075,Y,11,53,,33540,william.caballero,"2010-09-02 10:16:00",AF3086222,"2010-08-25 21:16:54",NULL,0
4386,28343,164034,BOG0336,1002011,448,A05G141074,1,A05G141074,Y,11,53,,33541,william.caballero,"2010-09-02 10:16:00",AF3086222,"2010-08-25 21:16:54",NULL,0
7817,NULL,180818,CUN0153,1001867,664,,500,,Y,246,53,,53619,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:40",NULL,0
7818,NULL,165235,CUN0153,1002011,664,A05G171051,1,A05G171051,Y,11,53,,53620,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:40",NULL,0
7819,NULL,165237,CUN0153,1002011,664,A05G171052,1,A05G171052,Y,11,53,,53621,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:40",NULL,0
7820,NULL,165239,CUN0153,1002011,664,A05G171053,1,A05G171053,Y,11,53,,53622,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:41",NULL,0
7821,NULL,165241,CUN0153,1002011,664,A05G171054,1,A05G171054,Y,11,53,,53623,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:41",NULL,0
7822,NULL,165243,CUN0153,1002011,664,A05G171055,1,A05G171055,Y,11,53,,53624,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:42",NULL,0
7823,NULL,165244,CUN0153,1002011,664,A05G171056,1,A05G171056,Y,11,53,,53625,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:42",NULL,0
7824,NULL,165245,CUN0153,1002011,664,A05G171057,1,A05G171057,Y,11,53,,53626,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:42",NULL,0
7825,NULL,165247,CUN0153,1002011,664,A05G171058,1,A05G171058,Y,11,53,,53627,fernando.zaldua,"2010-09-17 12:07:56",AO79049480,"2010-09-17 12:09:42",NULL,0
9484,NULL,326533,BOG0298,1001260,809,21023151691085000187,1,A05T117791,Y,224,62,,62897,NULL,NULL,NULL,NULL,NULL,0
9485,NULL,326533,BOG0298,1001260,809,21023151691085000187,1,A05T117791,Y,224,62,,62943,NULL,NULL,NULL,NULL,NULL,0
16154,NULL,83001,CUN0076,1000496,262,94286-055,1,A06G120079,Y,733,7,"SE HIZO TRASLADO DESDE CUN0075 YA QUE TODOS LOS ELEMENTOS DE ESE ENLACE SE CARGARON A CUN0076",103677,mario.roman,"2010-10-08 10:46:16",AO79049480,"2010-12-16 15:03:10",NULL,0
16155,NULL,83001,CUN0076,1000496,262,94286-055,1,A06G120079,Y,733,7,"SE HIZO TRASLADO DESDE CUN0075 YA QUE TODOS LOS ELEMENTOS DE ESE ENLACE SE CARGARON A CUN0076",103678,mario.roman,"2010-10-08 10:46:16",AO79049480,"2010-12-16 15:03:10",NULL,0
16402,6443,323534,BOG0145,1002011,114,A05G135533,1,A05G135533,Y,11,53,,105333,william.caballero,"2010-10-20 15:14:09",JD19471339,"2010-10-20 15:10:38",NULL,0
16403,6444,323535,BOG0145,1002011,114,A05G135534,1,A05G135534,Y,11,53,,105334,william.caballero,"2010-10-20 15:14:09",JD19471339,"2010-10-20 15:10:38",NULL,0
16404,6445,323536,BOG0145,1002011,114,A05G135535,1,A05G135535,Y,11,53,,105335,william.caballero,"2010-10-20 15:14:09",JD19471339,"2010-10-20 15:10:38",NULL,0
16405,6446,323537,BOG0145,1002011,114,A05G135536,1,A05G135536,Y,11,53,,105336,william.caballero,"2010-10-20 15:14:09",JD19471339,"2010-10-20 15:10:38",NULL,0
16406,6447,323538,BOG0145,1002011,114,A05G135537,1,A05G135537,Y,11,53,,105337,william.caballero,"2010-10-20 15:14:09",JD19471339,"2010-10-20 15:10:38",NULL,0
16407,6448,323539,BOG0145,1002011,114,A05G135538,1,A05G135538,Y,11,53,,105338,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16408,6449,323540,BOG0145,1002011,114,A05G135539,1,A05G135539,Y,11,53,,105339,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16409,6450,323541,BOG0145,1002011,114,A05G135540,1,A05G135540,Y,11,53,,105340,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16410,6451,323542,BOG0145,1002011,114,A05G135541,1,A05G135541,Y,11,53,,105341,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16411,6452,323543,BOG0145,1002011,114,A05G135542,1,A05G135542,Y,11,53,,105342,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16412,6453,323544,BOG0145,1002011,114,A05G135543,1,A05G135543,Y,11,53,,105343,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16413,6454,323545,BOG0145,1002011,114,A05G135544,1,A05G135544,Y,11,53,,105344,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16414,6455,323546,BOG0145,1002011,114,A05G135545,1,A05G135545,Y,11,53,,105345,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16415,6456,323547,BOG0145,1002011,114,A05G135546,1,A05G135546,Y,11,53,,105346,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16416,6457,323548,BOG0145,1002011,114,A05G135547,1,A05G135547,Y,11,53,,105347,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16417,6458,323549,BOG0145,1002011,114,A05G135548,1,A05G135548,Y,11,53,,105348,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16418,6399,165480,BOG0145,1000044,114,KNR/S3307774,1,A05G135507,Y,20,53,,105349,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16419,6402,165483,BOG0145,1000553,114,KNR/S4360046,1,A05G135510,Y,20,53,,105350,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16420,6418,201271,BOG0145,1000401,114,,80,,Y,246,53,,105351,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
16421,6401,165482,BOG0145,1000662,114,KNR/S3322338,1,A05G135509,Y,20,53,,105352,william.caballero,"2010-10-20 15:14:10",JD19471339,"2010-10-20 15:10:38",NULL,0
19918,NULL,322335,ATL0018,1001149,1450,A05T109247,1,A05T109247,Y,222,62,"SE CAMBIA SERIAL GENERICO A SERIAL MIC CODE.",127633,Andres.hernandez,"2010-11-03 16:26:48",LQ11318319,"2010-11-04 08:37:12",NULL,0
21988,NULL,92395,HUI0033,1000570,1585,11030,1,A06G144985,Y,710,7,"Se encontro en Laicon en HUI0033, se reporta movimiento y se asigna placa sobrante",145080,SH1098627509,"2010-11-10 14:55:17",JM10255349,"2010-11-09 16:15:23",NULL,0
29146,NULL,266609,CUN0052,1000539,1815,78661,1,A06G144110,Y,225,7,,179820,NULL,NULL,NULL,NULL,NULL,0
29147,NULL,271324,CUN0052,1000036,1815,N0B2069162,1,A05T127769,Y,186,62,,179821,NULL,NULL,NULL,NULL,NULL,0
29148,NULL,273531,CUN0052,1000036,1815,NOBO565015,1,A05T127770,Y,186,62,,179822,NULL,NULL,NULL,NULL,NULL,0
29149,NULL,271323,CUN0052,1000036,1815,NOB2069164,1,A05T127771,Y,186,62,,179823,NULL,NULL,NULL,NULL,NULL,0
29150,NULL,143359,CUN0052,1000553,1815,KNR/S1380118,1,A05G168417,Y,20,53,,179824,NULL,NULL,NULL,NULL,NULL,0
29151,NULL,344102,CUN0052,1002011,1815,A05G168421,1,A05G168421,Y,11,53,,179825,NULL,NULL,NULL,NULL,NULL,0
29152,NULL,344103,CUN0052,1002011,1815,A05G168422,1,A05G168422,Y,11,53,,179826,NULL,NULL,NULL,NULL,NULL,0
29153,NULL,344104,CUN0052,1002011,1815,A05G168423,1,A05G168423,Y,11,53,,179827,NULL,NULL,NULL,NULL,NULL,0
29154,NULL,344105,CUN0052,1002011,1815,A05G168424,1,A05G168424,Y,11,53,,179828,NULL,NULL,NULL,NULL,NULL,0
