id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
233235,2210,292100,225896,PENDING,DIFFERENCE,"Element with difference: model, location, millicom_code, element_type_asset","[model: Elem = 1003061 - Res = 1003060], [location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100497 - Res = C01G106782], [element_type_asset: Elem = 19 - Res = 22]",NULL,NULL
233237,2210,292101,225895,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100492 - Res = C01G106781]",NULL,NULL
233239,2210,292102,225894,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100491 - Res = C01G106780]",NULL,NULL
233241,2210,292103,225893,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100490 - Res = C01G106779]",NULL,NULL
233244,2210,292104,225891,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100484 - Res = C01G106776], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233246,2210,292105,225890,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100483 - Res = C01G106775], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233248,2210,292106,225889,PENDING,DIFFERENCE,"Element with difference: location, serial, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064259 - Res = C01G106774], [millicom_code: Elem = C01G100481 - Res = C01G106774]",NULL,NULL
233250,2210,292107,225888,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100496 - Res = C01G106773]",NULL,NULL
233252,2210,292109,225886,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100494 - Res = C01G106771]",NULL,NULL
233254,2210,292108,225887,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100495 - Res = C01G106772]",NULL,NULL
