id,report,element,quantity
131509,5,82180,1
131510,5,82506,1
131511,5,82507,1
131512,5,82508,1
131513,5,82509,1
131514,5,94018,1
131515,5,94019,1
131516,5,94020,1
131517,5,94021,1
131518,5,95212,4
131519,5,95213,3
131520,5,95214,3
131521,5,95215,3
131522,5,95216,3
131523,5,98694,1
131524,5,95217,3
131525,5,95218,3
131526,5,95889,1
131527,5,97726,1
131528,5,97727,1
131529,5,97728,1
131530,5,97729,1
131531,5,97730,1
131532,5,97731,1
131533,5,97732,1
131534,5,98691,1
131535,5,98692,1
131536,5,98693,1
131537,5,147225,6
131538,5,147226,1
131659,5,134415,1
131743,5,251202,1
131745,5,251204,1
131746,5,251205,1
131747,5,251206,1
131959,5,74227,1
131961,5,74305,1
131963,5,74607,1
131964,5,74618,1
131965,5,74619,1
131966,5,74620,1
131968,5,74633,1
131969,5,74637,1
131972,5,74642,1
131973,5,74643,1
131974,5,74645,1
131977,5,74674,1
131978,5,74687,1
131979,5,74689,1
131980,5,74697,1
131983,5,74710,1
131985,5,75280,1
131986,5,75441,1
131987,5,75476,1
131988,5,75490,1
131989,5,75521,1
131990,5,75523,1
131991,5,75527,1
131992,5,75529,1
131993,5,75681,1
131994,5,75682,1
131995,5,75704,1
131996,5,75705,1
131997,5,75852,1
131998,5,75853,1
131999,5,75855,1
132000,5,75856,1
132002,5,76144,1
132003,5,76149,1
132004,5,76289,1
132115,5,94037,1
132291,5,135199,1
132897,5,68610,1
133153,5,259849,1
133154,5,259850,1
133156,5,259852,1
133157,5,259853,1
133159,5,259855,1
133160,5,259856,1
133161,5,259857,1
133162,5,259858,1
133163,5,259859,1
133164,5,259860,1
133165,5,259861,1
133166,5,259862,1
133167,5,259863,1
133168,5,259864,1
133169,5,259865,1
133170,5,259866,1
133171,5,259867,1
133172,5,259868,1
133173,5,259869,1
140239,5,108012,2
143766,5,51085,1
143767,5,51101,1
143814,5,68587,1
143821,5,69020,1
143823,5,70122,1
143885,5,74512,1
143891,5,74788,1
143892,5,74797,1
143902,5,76318,1
143908,5,77046,1
143909,5,77052,1
144057,5,2727,1
144058,5,2759,1
144059,5,2763,1
144063,5,6741,1
144064,5,7485,1
144065,5,7565,1
144066,5,7612,1
144070,5,7658,1
144073,5,12195,1
144098,5,44318,1
144100,5,44823,1
144103,5,51164,1
144107,5,51341,1
144108,5,52259,1
144109,5,52260,1
144367,5,5028,1
144375,5,12120,1
144395,5,51584,1
145002,5,198000,1
145010,5,214944,1
145011,5,214945,1
145012,5,214946,1
145016,5,214958,1
145354,5,8373,1
145478,5,28743,1
145479,5,28768,1
145482,5,28863,1
145484,5,29124,1
145485,5,29149,1
145486,5,29168,1
145487,5,29169,1
145488,5,29170,1
145489,5,29203,1
145492,5,29421,1
145493,5,29534,1
145497,5,30036,1
145499,5,31453,1
145502,5,31517,1
145504,5,31572,1
145505,5,31601,1
145507,5,31629,1
145509,5,31660,1
145510,5,31702,1
145511,5,31703,1
145513,5,31775,1
145515,5,31845,1
145521,5,32757,1
145522,5,32761,1
145524,5,32786,1
145525,5,32797,1
145526,5,32800,1
145529,5,32826,1
145530,5,32827,1
145531,5,32828,1
145532,5,32840,1
145539,5,33568,1
145541,5,33935,1
145542,5,34312,1
145544,5,34425,1
145545,5,34426,1
145546,5,34433,1
145547,5,34471,1
145548,5,34479,1
145549,5,34480,1
145550,5,34481,1
145551,5,34818,1
145552,5,34824,1
145553,5,35027,1
145559,5,40602,1
145562,5,41197,1
145563,5,41219,1
145571,5,43341,1
145579,5,44738,1
145580,5,44775,1
145601,5,58366,1
145640,5,75949,1
145975,5,161146,1
145982,5,161645,1
146041,5,177975,1
146157,5,198955,1
146158,5,198956,1
146159,5,198965,1
146679,5,8566,1
147013,5,95819,1
147202,5,131982,1
147203,5,131983,1
147204,5,131984,1
147205,5,131985,1
147375,5,149452,42
147405,5,150189,1
147406,5,150190,1
147407,5,150191,1
147408,5,150192,1
147409,5,150193,1
147410,5,150194,1
147527,5,154638,1
147646,5,167448,2
147905,5,187131,12
148313,5,147710,1
155684,5,162005,1
157130,5,189581,1
157131,5,189582,1
157132,5,189583,1
157133,5,189584,1
157134,5,189585,1
157135,5,189586,1
157136,5,189587,1
157137,5,189588,1
157138,5,189589,1
157139,5,189590,1
157140,5,189591,1
157141,5,189592,1
157142,5,189593,1
157143,5,189594,1
157144,5,189595,1
157145,5,189596,1
157146,5,189597,1
157147,5,189598,1
157148,5,189599,1
157149,5,189600,1
157150,5,189601,1
157151,5,189602,1
157152,5,189603,1
157153,5,189604,1
157154,5,189605,1
157155,5,189606,1
157156,5,189607,1
157157,5,189608,1
157158,5,189609,1
157159,5,189610,1
157160,5,189611,1
157161,5,189612,1
157162,5,189613,1
157163,5,189614,1
157164,5,189615,1
157165,5,189616,1
157166,5,189617,1
157836,5,294131,1
157837,5,294173,1
157841,5,294177,1
157853,5,294333,1
157861,5,294341,1
157865,5,294348,1
157874,5,295825,1
158546,5,308521,1
162835,5,130013,1
167089,7,38979,1
167090,6,38979,1
167091,7,38980,1
167092,6,38980,1
167531,7,89547,1
167532,6,89547,1
169105,7,4895,1
169106,6,4895,1
169107,7,4904,1
169108,6,4904,1
169287,7,52664,1
169288,6,52664,1
169379,7,65293,1
169380,6,65293,1
171835,6,269485,1
171836,7,269485,1
172523,6,130014,1
172524,7,130014,1
172525,6,130015,1
172526,7,130015,1
172527,6,130016,1
172528,7,130016,1
172529,6,130017,1
172530,7,130017,1
175103,6,10,1
175108,7,10,1
175417,6,51533,1
175422,7,51533,1
175425,6,54980,1
175427,6,54985,1
175430,7,54980,1
175432,7,54985,1
179707,6,311378,1
179712,7,311378,1
179879,6,70219,1
179883,6,82180,1
179884,7,70219,1
179885,6,82506,1
179887,6,82507,1
179888,7,82180,1
179889,6,82508,1
179890,7,82506,1
179891,6,82509,1
179892,7,82507,1
179893,6,94018,1
179894,7,82508,1
179895,6,94019,1
179896,7,82509,1
179897,6,94020,1
179898,7,94018,1
179899,6,94021,1
179900,7,94019,1
179901,6,95212,4
179902,7,94020,1
179903,6,95213,3
179904,7,94021,1
179905,6,95214,3
179906,7,95212,4
179907,6,95215,3
179908,7,95213,3
179909,6,95216,3
179910,7,95214,3
179911,6,98694,1
179912,7,95215,3
179913,6,95217,3
179914,7,95216,3
179915,6,95218,3
179916,7,98694,1
179917,6,95889,1
179918,7,95217,3
179919,6,97726,1
179920,7,95218,3
179921,6,97727,1
179922,7,95889,1
179923,6,97728,1
179924,7,97726,1
179925,6,97729,1
179926,7,97727,1
179927,6,97730,1
179928,7,97728,1
179929,6,97731,1
179930,7,97729,1
179931,6,97732,1
179932,7,97730,1
179933,6,98691,1
179934,7,97731,1
179935,6,98692,1
179936,7,97732,1
179937,6,98693,1
179938,7,98691,1
179939,6,147225,6
179940,7,98692,1
179941,6,147226,1
179942,7,98693,1
179944,7,147225,6
179946,7,147226,1
180183,6,134415,1
180188,7,134415,1
180351,6,251202,1
180355,6,251204,1
180356,7,251202,1
180357,6,251205,1
180359,6,251206,1
180360,7,251204,1
180362,7,251205,1
180364,7,251206,1
180783,6,74227,1
180787,6,74305,1
180788,7,74227,1
180791,6,74607,1
180792,7,74305,1
180793,6,74618,1
180795,6,74619,1
180796,7,74607,1
180797,6,74620,1
180798,7,74618,1
180800,7,74619,1
180801,6,74633,1
180802,7,74620,1
180803,6,74637,1
180806,7,74633,1
180808,7,74637,1
180809,6,74642,1
180811,6,74643,1
180813,6,74645,1
180814,7,74642,1
180816,7,74643,1
180818,7,74645,1
180819,6,74674,1
180821,6,74687,1
180823,6,74689,1
180824,7,74674,1
180825,6,74697,1
180826,7,74687,1
180828,7,74689,1
180830,7,74697,1
180831,6,74710,1
180835,6,75280,1
180836,7,74710,1
180837,6,75441,1
180839,6,75476,1
180840,7,75280,1
180841,6,75490,1
180842,7,75441,1
180843,6,75521,1
180844,7,75476,1
180845,6,75523,1
180846,7,75490,1
180847,6,75527,1
180848,7,75521,1
180849,6,75529,1
180850,7,75523,1
180851,6,75681,1
180852,7,75527,1
180853,6,75682,1
180854,7,75529,1
180855,6,75704,1
180856,7,75681,1
180857,6,75705,1
180858,7,75682,1
180859,6,75852,1
180860,7,75704,1
180861,6,75853,1
180862,7,75705,1
180863,6,75855,1
180864,7,75852,1
180865,6,75856,1
180866,7,75853,1
180868,7,75855,1
180869,6,76144,1
180870,7,75856,1
180871,6,76149,1
180873,6,76289,1
180874,7,76144,1
180876,7,76149,1
180878,7,76289,1
181095,6,94037,1
181100,7,94037,1
181447,6,135199,1
181452,7,135199,1
182659,6,68610,1
182664,7,68610,1
183171,6,259849,1
183173,6,259850,1
183176,7,259849,1
183177,6,259852,1
183178,7,259850,1
183179,6,259853,1
183182,7,259852,1
183183,6,259855,1
183184,7,259853,1
183185,6,259856,1
183187,6,259857,1
183188,7,259855,1
183189,6,259858,1
183190,7,259856,1
183191,6,259859,1
183192,7,259857,1
183193,6,259860,1
183194,7,259858,1
183195,6,259861,1
183196,7,259859,1
183197,6,259862,1
183198,7,259860,1
183199,6,259863,1
183200,7,259861,1
183201,6,259864,1
183202,7,259862,1
183203,6,259865,1
183204,7,259863,1
183205,6,259866,1
183206,7,259864,1
183207,6,259867,1
183208,7,259865,1
183209,6,259868,1
183210,7,259866,1
183211,6,259869,1
183212,7,259867,1
183214,7,259868,1
183216,7,259869,1
197342,6,108012,2
197345,7,108012,2
204397,7,51085,1
204398,6,51085,1
204399,7,51101,1
204400,6,51101,1
204493,7,68587,1
204494,6,68587,1
204507,7,69020,1
204508,6,69020,1
204511,7,70122,1
204512,6,70122,1
204635,7,74512,1
204636,6,74512,1
204647,7,74788,1
204648,6,74788,1
204649,7,74797,1
204650,6,74797,1
204669,7,76318,1
204670,6,76318,1
204681,7,77046,1
204682,6,77046,1
204683,7,77052,1
204684,6,77052,1
204979,7,2727,1
204980,6,2727,1
204981,7,2759,1
204982,6,2759,1
204983,7,2763,1
204984,6,2763,1
204991,7,6741,1
204992,6,6741,1
204993,7,7485,1
204994,6,7485,1
204995,7,7565,1
204996,6,7565,1
204997,7,7612,1
204998,6,7612,1
205005,7,7658,1
205006,6,7658,1
205011,7,12195,1
205012,6,12195,1
205061,7,44318,1
205062,6,44318,1
205065,7,44823,1
205066,6,44823,1
205071,7,51164,1
205072,6,51164,1
205079,7,51341,1
205080,6,51341,1
205081,7,52259,1
205082,6,52259,1
205083,7,52260,1
205084,6,52260,1
205599,7,5028,1
205600,6,5028,1
205615,7,12120,1
205616,6,12120,1
205655,7,51584,1
205656,6,51584,1
206869,6,198000,1
206870,7,198000,1
206885,6,214944,1
206886,7,214944,1
206887,6,214945,1
206888,7,214945,1
206889,6,214946,1
206890,7,214946,1
206897,6,214958,1
206898,7,214958,1
207573,6,8373,1
207574,7,8373,1
207821,6,28743,1
207822,7,28743,1
207823,6,28768,1
207824,7,28768,1
207829,6,28863,1
207830,7,28863,1
207833,6,29124,1
207834,7,29124,1
207835,6,29149,1
207836,7,29149,1
207837,6,29168,1
207838,7,29168,1
207839,6,29169,1
207840,7,29169,1
207841,6,29170,1
207842,7,29170,1
207843,6,29203,1
207844,7,29203,1
207849,6,29421,1
207850,7,29421,1
207851,6,29534,1
207852,7,29534,1
207859,6,30036,1
207860,7,30036,1
207863,6,31453,1
207864,7,31453,1
207869,6,31517,1
207870,7,31517,1
207873,6,31572,1
207874,7,31572,1
207875,6,31601,1
207876,7,31601,1
207879,6,31629,1
207880,7,31629,1
